year,word,frequency
1700,auroch,0.0
1700,aurochs,0.0
1700,australopithecine,0.0
1700,australopithecus,0.0
1700,australovenator,0.0
1700,austroraptor,0.0
1700,austrosaurus,0.0
1700,avaceratops,0.0
1700,avadavat,0.0
1700,avifauna,0.0
1700,avimimus,0.0
1700,avocet,0.0
1700,axolotl,0.0
1700,azawakh,0.0
1700,azhdarchid,0.0
1700,babakoto,0.0
1700,babbler,0.216105
1700,babirusa,0.0
1700,babochka,0.0
1700,baboon,0.4763
1700,babybird,0.0
1700,babyfish,0.0
1700,babypig,0.0
1700,backswimmer,0.0
1700,bactrian,0.034507
1700,bactrosaurus,0.0
1700,badger,0.657679
1700,bagaceratops,0.0
1700,bagworm,0.0
1700,bahariasaurus,0.0
1700,baiji,0.0
1700,baitfish,0.0
1700,baku,0.0
1700,bakunawa,0.0
1700,balaenoptera,0.0
1700,balaur,0.0
1700,baldeagle,0.0
1700,balinese,0.0
1700,balloonfish,0.0
1700,bambiraptor,0.0
1700,banderlog,0.0
1700,bandicoot,0.0
1700,bangtail,0.0
1700,bankclimber,0.0
1700,bannerfish,0.0
1700,bantam,9.11528
1700,banteng,0.0
1700,banty,0.001472
1700,barapasaurus,0.0
1700,barasingha,0.0
1700,barb,0.262931
1700,barbaloot,0.0
1700,barbel,0.245582
1700,barbet,0.012793
1700,barbfish,0.0
1700,barbu,0.0
1700,barghest,0.0
1700,barnacle,0.788944
1700,barnevelder,0.0
1700,baronduki,0.0
1700,barosaurus,0.0
1700,barracouta,0.0
1700,barracuda,0.0
1700,barramundi,0.0
1700,barreleye,0.0
1700,barrelfish,0.0
1700,barsboldia,0.0
1700,barylambda,0.0
1700,baryonyx,0.0
1700,basenji,0.0
1700,basilisk,0.244108
1700,basilosaurus,0.0
1700,bass,16.258718
1700,bassador,0.274054
1700,bassarisk,0.0
1700,basset,0.488012
1700,bat,17.743259
1700,batbug,0.0
1700,bateleur,0.0
1700,batfish,0.0
1700,batrachian,0.0
1700,baya,0.013384
1700,beagle,0.219724
1700,beago,0.0
1700,bear,24.389806
1700,bearcat,0.0
1700,bearcub,0.0
1700,beardfish,0.0
1700,beast,74.778028
1700,beastie,0.0
1700,beauceron,0.0
1700,beaugregory,0.0
1700,beaver,0.69758
1700,becklespinax,0.0
1700,bedbug,0.0
1700,bee,11.188654
1700,beedrill,0.0
1700,beef,4.798833
1700,beefalo,0.0
1700,beelzebufo,0.0
1700,beetle,0.696297
1700,beewolf,0.0
1700,behemoth,0.477822
1700,behir,0.0
1700,beipiaosaurus,0.0
1700,beira,0.018802
1700,bekantan,0.0
1700,belemnite,0.369611
1700,bellbird,0.0
1700,bellusaurus,0.0
1700,bellwether,0.0
1700,beluga,0.0
1700,bengal,1.95182
1700,bergamasco,0.0
1700,beroe,0.01833
1700,bettong,0.0
1700,bharal,0.0
1700,bicentenaria,0.0
1700,bichir,0.0
1700,bigeye,0.0
1700,bigfoot,0.0
1700,bighead,0.0
1700,bighorn,0.0
1700,bilby,0.0
1700,billfish,0.0
1700,billy,0.275704
1700,billygoat,0.0
1700,binturong,0.0
1700,bird,36.842377
1700,birddog,0.0
1700,birdie,0.012793
1700,birdlife,0.0
1700,birdling,0.0
1700,birdy,0.0
1700,birman,0.0
1700,biscacha,0.0
1700,bison,0.088665
1700,bistahieversor,0.0
1700,bittern,0.210079
1700,bivalve,0.004588
1700,blackbear,0.0
1700,blackbird,0.243292
1700,blackbuck,0.0
1700,blackcap,0.0
1700,blackcattle,0.0
1700,blackcock,0.0
1700,blackfish,0.0
1700,blackfly,0.0
1700,blackhawk,0.0
1700,blackpoll,0.0
1700,blacksnake,0.0
1700,blacktail,0.0
1700,blanquillo,0.0
1700,blastoise,0.0
1700,blauwbok,0.0
1700,blenny,0.0
1700,blesbok,0.0
1700,blewitti,0.0
1700,blindcat,0.0
1700,blindworm,0.0
1700,blobfish,0.0
1700,bloodhound,0.01843
1700,bloodworm,0.0
1700,blowfly,0.0
1700,bluebird,0.0
1700,bluebottle,0.031021
1700,bluebuck,0.0
1700,bluefin,0.0
1700,bluefish,0.012793
1700,bluegill,0.0
1700,bluehead,0.0
1700,bluejay,0.0
1700,bluepike,0.0
1700,bluepoint,0.0
1700,bluethroat,0.0
1700,bluetick,0.0
1700,bluewhale,0.0
1700,bluewing,0.0
1700,boa,0.610219
1700,boar,4.427813
1700,boarfish,0.0
1700,boarhound,0.0
1700,boatbill,0.0
1700,bobcat,0.0
1700,bobolink,0.0
1700,bobwhite,0.0
1700,boerboel,0.0
1700,boggle,0.337247
1700,boghaunter,0.0
1700,boiga,0.0
1700,bollweevil,0.0
1700,bollworm,0.0
1700,bolti,0.0
1700,bolyeria,0.0
1700,bombay,0.603873
1700,bombycid,0.0
1700,bondegezou,0.0
1700,bonefish,0.0
1700,bongo,0.019111
1700,bonito,0.003657
1700,bonnacon,0.0
1700,bonobo,0.0
1700,bontbok,0.0
1700,bonyfish,0.0
1700,bonytongue,0.0
1700,boobook,0.0
1700,booby,0.82213
1700,boojum,0.0
1700,bookl,0.000171
1700,booklouse,0.0
1700,boomslang,0.0
1700,borador,0.0
1700,borkie,0.0
1700,borogovia,0.0
1700,borzoi,0.005898
1700,boselaphini,0.0
1700,bot,1.457105
1700,botfly,0.0
1700,bothriospondylus,0.0
1700,bottlenose,0.0
1700,bottomdweller,0.0
1700,bovid,0.0
1700,bovine,0.022876
1700,bowerbird,0.0
1700,bowfin,0.0
1700,bowhead,0.0
1700,bowwow,0.0
1700,boxador,0.0
1700,boxer,0.264778
1700,boxfish,0.0
1700,brach,0.023988
1700,brachet,0.0
1700,brachiopod,0.0
1700,brachiosaurus,0.0
1700,brachyceratops,0.0
1700,brachylophosaurus,0.0
1700,brachytrachelopan,0.0
1700,brachyuran,0.0
1700,bradypus,0.0
1700,brambling,0.0
1700,branchiopod,0.0
1700,brandling,0.259595
1700,brant,0.068518
1700,bravoana,0.0
1700,bream,0.557416
1700,briard,0.01108
1700,brill,0.337418
1700,brisling,0.0
1700,bristlebird,0.0
1700,bristlefront,0.0
1700,bristlehead,0.0
1700,bristletail,0.0
1700,bristleworm,0.0
1700,brit,1.761753
1700,brittany,0.241564
1700,brittlestar,0.0
1700,broadbill,0.0
1700,broadtail,0.0
1700,brocken,0.123397
1700,brocket,0.014964
1700,bronco,0.0
1700,brontosaurus,0.0
1700,broodmare,0.0
1700,brotula,0.0
1700,brownbear,0.0
1700,browntail,0.0
1700,brug,0.031585
1700,bruin,0.330326
1700,brumby,0.0
1700,brushturkey,0.0
1700,bryozoan,0.0
1700,bubal,0.0
1700,bucardo,0.0
1700,buccanodon,0.0
1700,buck,3.245735
1700,budgerigar,0.0
1700,budgie,0.0
1700,budmoth,0.0
1700,budworm,0.0
1700,buffalo,1.617781
1700,bufflehead,0.0
1700,bufo,0.043642
1700,bug,0.507733
1700,bugbear,0.777262
1700,bugeater,0.0
1700,bugfish,0.0
1700,buitreraptor,0.0
1700,bulbasaurus,0.0
1700,bulbfly,0.0
1700,bulbul,0.0
1700,bulette,0.0
1700,bull,16.184004
1700,bullbat,0.0
1700,bulldog,0.0
1700,bullfinch,0.007727
1700,bullfrog,0.0
1700,bullhead,0.030849
1700,bullmastiff,0.0
1700,bullock,7.818954
1700,bullsnake,0.0
1700,bullterrier,0.0
1700,bumblebee,0.0
1700,bunny,0.030849
1700,bunnyrabbit,0.0
1700,bunolagus,0.0
1700,bunting,0.133908
1700,bunyip,0.0
